Date,Open,High,Low,Close,Adj Close,Volume
2024-01-05,775.369995,779.679993,771.570007,778.700012,778.700012,45200
2024-01-08,777.130005,780.099976,773.500000,779.090027,779.090027,52000
2024-01-09,779.559998,779.760010,774.539978,777.580017,777.580017,53100
2024-01-10,777.140015,778.960022,774.239990,775.020020,775.020020,55700
2024-01-11,780.599976,783.200012,774.539978,774.539978,774.539978,53000
2024-01-12,780.679993,785.340027,780.369995,781.859985,781.859985,51716100
2024-01-15,783.919983,784.950012,779.210022,779.489990,779.489990,48000
2024-01-16,775.070007,779.309998,773.280029,778.539978,778.539978,50100
2024-01-17,769.890015,771.989990,766.659973,771.429993,771.429993,59300
2024-01-18,772.619995,778.460022,772.619995,778.169983,778.169983,56400
2024-01-19,782.580017,783.520020,778.340027,778.890015,778.890015,53400
2024-01-22,784.820007,787.270020,783.809998,785.599976,785.599976,51900
2024-01-23,787.580017,789.369995,783.099976,787.770020,787.770020,47400
2024-01-24,799.820007,807.929993,798.429993,806.929993,806.929993,57300
2024-01-25,808.409973,815.890015,807.770020,814.869995,814.869995,58700
2024-01-26,811.969971,818.960022,811.969971,817.739990,817.739990,58500
2024-01-29,818.799988,820.979980,818.020020,819.909973,819.909973,54900
2024-01-30,821.390015,823.760010,819.109985,820.640015,820.640015,58600
2024-01-31,819.760010,822.650024,818.190002,818.210022,818.210022,85656700
2024-02-01,817.630005,824.719971,816.830017,822.090027,822.090027,159758000
2024-02-02,827.250000,827.570007,821.690002,822.530029,822.530029,82859300
2024-02-05,824.030029,825.359985,821.580017,824.289978,824.289978,63782700
2024-02-06,829.869995,831.780029,826.599976,831.090027,831.090027,83551600
2024-02-07,831.219971,832.109985,829.330017,830.130005,830.130005,72967800
2024-02-08,837.450012,845.130005,837.270020,843.750000,843.750000,57878500
2024-02-09,845.739990,851.950012,845.010010,851.770020,851.770020,52471200
2024-02-12,852.710022,855.130005,851.099976,854.880005,854.880005,40748300
2024-02-13,843.030029,851.429993,838.219971,842.619995,842.619995,57534000
2024-02-14,843.739990,845.380005,841.869995,843.669983,843.669983,57458900
2024-02-15,848.729980,850.460022,844.270020,847.590027,847.590027,66205000
2024-02-16,855.659973,858.109985,854.169983,858.109985,858.109985,63394800
2024-02-19,853.630005,857.679993,853.309998,855.849976,855.849976,42028000
2024-02-20,853.090027,854.570007,846.580017,848.280029,848.280029,59555800
2024-02-21,849.340027,849.340027,843.500000,846.789978,846.789978,53520300
2024-02-22,857.349976,861.630005,854.719971,857.510010,857.510010,57543600
2024-02-23,859.039978,859.609985,854.130005,854.969971,854.969971,49430000
2024-02-26,853.020020,854.340027,851.159973,852.869995,852.869995,45203300
2024-02-27,851.969971,854.039978,849.880005,852.979980,852.979980,43697400
2024-02-28,849.140015,850.309998,845.580017,847.460022,847.460022,52188600
2024-02-29,847.450012,849.780029,844.090027,848.440002,848.440002,118687400
2024-03-01,852.599976,854.229980,848.369995,854.099976,854.099976,62860100
2024-03-04,857.150024,859.239990,854.969971,856.549988,856.549988,52716000
2024-03-05,854.049988,855.030029,849.809998,851.159973,851.159973,49499900
2024-03-06,851.750000,857.849976,851.750000,857.020020,857.020020,54213700
2024-03-07,855.880005,868.979980,853.739990,868.739990,868.739990,57971000
2024-03-08,870.969971,872.000000,861.960022,861.960022,861.960022,49848000
2024-03-11,855.450012,857.500000,849.890015,852.320007,852.320007,55743800
2024-03-12,856.419983,861.659973,854.039978,860.969971,860.969971,67101900
2024-03-13,862.919983,864.599976,859.640015,860.330017,860.330017,60301000
2024-03-14,863.630005,863.820007,856.130005,858.750000,858.750000,57129900
2024-03-15,858.570007,860.440002,851.780029,851.780029,851.780029,196283200
2024-03-18,854.830017,856.750000,852.789978,853.760010,853.760010,51870600
2024-03-19,857.130005,860.690002,855.679993,860.690002,860.690002,50709100
2024-03-20,860.960022,864.820007,859.059998,860.539978,860.539978,47244800
2024-03-21,872.119995,876.219971,869.809998,875.419983,875.419983,57605900
2024-03-22,873.679993,877.090027,870.590027,876.340027,876.340027,53607700
2024-03-25,875.809998,878.650024,873.479980,877.150024,877.150024,36895800
2024-03-26,876.380005,880.770020,875.140015,878.400024,878.400024,44004500
2024-03-27,878.849976,881.200012,878.549988,879.099976,879.099976,45265100
2024-03-28,881.849976,883.729980,881.049988,881.780029,881.780029,57532500
2024-04-02,888.539978,892.539978,880.320007,881.419983,881.419983,58447900
2024-04-03,883.270020,884.510010,879.469971,884.049988,884.049988,50944300
2024-04-04,884.880005,886.820007,883.210022,884.169983,884.169983,0
