Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
QPFF,1171,0,0.00,0,0.00,35.79,1171,0
TTAI,1149,0,0.00,0,0.00,28.66,1149,0
UOCT,1147,0,0.00,0,0.00,33.19,1147,0
TAIL,1138,0,0.00,0,0.00,12.05,1138,0
CAOS,1119,0,0.00,0,0.00,83.48,1119,0
IGHG,1119,0,0.00,0,0.00,76.46,1065,54
DJUL,1079,0,0.00,0,0.00,37.68,1079,0
GAA,1057,0,0.00,0,0.00,28.28,1057,0
ATMP,1055,0,0.00,0,0.00,23.94,1055,0
NOCT,1040,0,0.00,0,0.00,46.66,1040,0
ARKA,1031,0,0.00,0,0.00,61.78,1031,0
BAUG,1029,0,0.00,0,0.00,37.26,1029,0
BUSA,1014,0,0.00,0,0.00,29.51,1014,0
FLQS,1009,0,0.00,0,0.00,37.58,1009,0
BAMO,1007,0,0.00,0,0.00,27.40,1007,0
JULD,1000,0,0.00,0,0.00,24.99,1000,0
RPHS,985,0,0.00,0,0.00,9.25,985,0
PJUL,970,0,0.00,0,0.00,37.29,970,0
FMAY,963,0,0.00,0,0.00,42.93,963,0
INTL,940,0,0.00,0,0.00,21.97,940,0
IYLD,925,0,0.00,0,0.00,19.48,925,0
KAPR,907,0,0.00,0,0.00,29.69,907,0
FYEE,902,0,0.00,0,0.00,24.07,902,0
BAMB,901,0,0.00,0,0.00,25.40,901,0
NJUL,900,0,0.00,0,0.00,56.18,900,0
FNOV,888,0,0.00,0,0.00,43.63,888,0
GJUL,882,0,0.00,0,0.00,33.09,882,0
XJR,868,0,0.00,0,0.00,36.49,868,0
SEIM,841,0,0.00,0,0.00,29.68,841,0
BSEP,840,0,0.00,0,0.00,37.99,840,0
OCTQ,825,0,0.00,0,0.00,23.95,825,0
FFOG,813,0,0.00,0,0.00,31.46,813,0
FUNL,810,0,0.00,0,0.00,37.63,810,0
EFNL,802,0,0.00,0,0.00,35.02,802,0
QJUN,800,0,0.00,0,0.00,24.53,800,0
SNAV,788,0,0.00,0,0.00,27.79,788,0
MOHR,787,0,0.00,0,0.00,20.57,787,0
YJUN,786,0,0.00,0,0.00,21.22,786,0
FAUG,779,0,0.00,0,0.00,41.91,779,0
KJAN,774,0,0.00,0,0.00,33.74,774,0
IBHH,763,0,0.00,0,0.00,22.83,763,0
XFEB,761,0,0.00,0,0.00,29.98,761,0
PBP,756,0,0.00,0,0.00,21.90,756,0
KRUZ,748,0,0.00,0,0.00,28.70,748,0
SVAL,735,0,0.00,0,0.00,28.78,536,199
XDAT,735,0,0.00,0,0.00,21.11,735,0
ARKZ,721,0,0.00,0,0.00,37.18,721,0
EPRF,716,0,0.00,0,0.00,18.37,716,0
VEGN,713,0,0.00,0,0.00,43.21,423,290
TILT,710,0,0.00,0,0.00,186.41,710,0
INAV,693,0,0.00,0,0.00,25.11,693,0
ENOR,686,0,0.00,0,0.00,23.24,686,0
MSMR,680,0,0.00,0,0.00,26.73,680,0
NJAN,664,0,0.00,0,0.00,42.15,664,0
VFQY,662,0,0.00,0,0.00,128.15,662,0
IBHI,654,0,0.00,0,0.00,22.74,654,0
WEED,638,0,0.00,0,0.00,38.61,638,0
LQDW,637,0,0.00,0,0.00,28.23,637,0
SHAG,637,0,0.00,0,0.00,46.72,637,0
GFEB,636,0,0.00,0,0.00,33.54,636,0
GMOM,627,0,0.00,0,0.00,27.94,627,0
IZRL,618,0,0.00,0,0.00,18.81,618,0
MBCC,615,0,0.00,0,0.00,30.63,532,83
KWT,613,0,0.00,0,0.00,32.43,613,0
XBJA,613,0,0.00,0,0.00,26.40,613,0
BGLD,606,0,0.00,0,0.00,20.20,306,300
